id,area,perimeter,cx,cy,x,y,w,h,circularity,solidity,vertices
1,1376.5,140.47,359.57,268.85,338,250,45,41,0.877,0.979,11
2,1299.5,136.47,115.16,266.56,95,247,42,42,0.877,0.978,10
3,1628.0,154.37,245.55,264.02,222,243,49,46,0.859,0.98,12
4,1866.0,162.71,302.14,263.97,278,242,50,48,0.886,0.985,11
5,2127.0,178.37,174.08,262.06,146,239,57,50,0.84,0.973,12
6,2328.0,181.68,47.38,260.51,20,235,56,55,0.886,0.983,10
7,1086.5,124.81,155.5,198.34,137,181,39,38,0.876,0.979,13
8,1053.5,121.5,45.22,197.79,28,180,36,37,0.897,0.983,9
9,1399.5,140.47,103.12,196.35,82,177,44,42,0.891,0.985,13
10,1449.0,147.05,275.3,194.6,253,174,45,44,0.842,0.972,13
11,1642.5,153.3,213.93,193.81,191,172,47,46,0.878,0.982,13
12,2987.5,207.58,348.65,187.09,317,158,64,61,0.871,0.981,13
13,1036.5,121.15,154.92,128.1,136,112,39,35,0.887,0.981,12
14,1050.5,123.15,103.74,126.18,86,109,38,37,0.87,0.979,11
15,1110.0,126.23,337.62,125.13,319,107,39,39,0.875,0.975,11
16,1135.0,127.05,206.68,124.43,188,107,40,39,0.884,0.986,11
17,1250.5,135.64,46.25,125.1,27,106,42,41,0.854,0.975,13
18,1802.0,160.71,272.11,119.82,248,98,50,47,0.877,0.982,10
19,1067.5,122.33,101.69,57.22,83,41,39,35,0.896,0.986,11
20,1154.5,129.64,277.5,53.22,257,36,42,38,0.863,0.977,10
21,1356.0,139.88,45.55,54.79,24,35,45,41,0.871,0.978,13
22,1549.5,149.3,216.67,51.9,194,32,48,43,0.874,0.982,12
23,1592.0,149.54,156.68,51.48,134,30,47,45,0.895,0.984,13
24,2509.5,187.92,336.02,44.2,307,18,59,56,0.893,0.987,14
