epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.33425,1.23654,4.527,1.1167,0.00056,0.01389,7e-05,1e-05,0.78948,4.38346,0.98251,3.845e-05,3.845e-05,3.845e-05
2,6.84533,1.03495,4.44164,1.0716,0,0,0,0,0.83679,4.27712,0.9346,7.90071e-05,7.90071e-05,7.90071e-05
3,12.0087,1.02891,4.22842,1.0128,0.00102,0.03611,0.00151,0.00088,0.79698,4.1691,0.88451,0.000113474,0.000113474,0.000113474
4,17.1568,0.88239,4.00921,0.96986,0.00172,0.07222,0.00677,0.00276,0.66137,4.14259,0.87259,0.00014185,0.00014185,0.00014185
5,23.0575,0.93306,3.97087,0.98264,0.00223,0.09846,0.01718,0.00965,0.63685,4.09868,0.85681,0.000164135,0.000164135,0.000164135
6,27.6864,0.7009,3.51631,0.90118,0.0058,0.46481,0.08481,0.04222,0.6651,4.01729,0.84368,0.000180331,0.000180331,0.000180331
7,37.6759,0.71689,3.37519,0.8859,0.00838,0.75776,0.24976,0.19656,0.68322,3.89759,0.84396,0.000190435,0.000190435,0.000190435
8,42.5524,0.72141,3.09124,0.88923,0.00962,0.90079,0.31633,0.25733,0.68511,3.71239,0.83803,0.000194449,0.000194449,0.000194449
9,46.321,0.72366,2.90915,0.92506,0.01013,0.97024,0.3357,0.2773,0.72407,3.49717,0.85496,0.000192373,0.000192373,0.000192373
10,55.1071,0.72114,2.75584,0.90951,0.0105,0.98611,0.36161,0.29398,0.78498,3.36257,0.8939,0.000184206,0.000184206,0.000184206
11,62.5402,0.70354,2.65881,0.90002,0.30707,0.33775,0.37439,0.3092,0.79648,3.21271,0.90647,0.000169949,0.000169949,0.000169949
12,66.5321,0.66145,2.5417,0.89285,0.6529,0.15441,0.38247,0.31133,0.75734,3.05659,0.89632,0.000149601,0.000149601,0.000149601
13,73.0593,0.62504,2.45998,0.88555,0.6007,0.16147,0.34923,0.29493,0.73737,2.91053,0.88922,0.000123163,0.000123163,0.000123163
14,79.4846,0.68905,2.3671,0.91402,0.60896,0.26612,0.37852,0.32198,0.73359,2.75849,0.89839,9.06343e-05,9.06343e-05,9.06343e-05
15,84.8425,0.66956,2.3496,0.89828,0.58928,0.28521,0.39314,0.33349,0.73178,2.68727,0.90159,5.20152e-05,5.20152e-05,5.20152e-05
