epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.999,1.12837,4.42278,1.06281,0.00107,0.05093,0.0027,0.00059,0.54161,4.25442,0.87939,8.459e-05,8.459e-05,8.459e-05
2,14.7462,0.95272,4.20797,1.00011,0.00176,0.08086,0.02328,0.01393,0.80868,4.189,0.8942,0.000165197,0.000165197,0.000165197
3,17.7436,0.90039,3.92034,0.99435,0.00336,0.21173,0.03532,0.02897,0.54756,4.07017,0.84679,0.000233622,0.000233622,0.000233622
4,19.8395,0.927,3.75242,0.96135,0.00524,0.51398,0.13806,0.10858,0.59325,3.95189,0.84652,0.000289867,0.000289867,0.000289867
5,21.9984,0.87685,3.55782,0.94717,0.00837,0.71407,0.18762,0.14838,0.65908,3.701,0.85626,0.000333931,0.000333931,0.000333931
6,24.4027,0.73615,3.01327,0.88417,0.66651,0.14921,0.28041,0.23423,0.64516,3.4091,0.8525,0.000365813,0.000365813,0.000365813
7,26.8017,0.73292,2.92427,0.91691,0.68633,0.23054,0.34774,0.30104,0.64096,2.98032,0.86997,0.000385515,0.000385515,0.000385515
8,28.9483,0.73307,2.6351,0.88363,0.46453,0.28723,0.36909,0.31282,0.66062,2.73491,0.87601,0.000393036,0.000393036,0.000393036
9,31.4592,0.68741,2.5376,0.89418,0.4188,0.38677,0.4079,0.34116,0.64653,2.33736,0.88422,0.000362968,0.000362968,0.000362968
10,34.9112,0.65309,2.38347,0.89461,0.28775,0.43029,0.44248,0.3745,0.65695,2.18474,0.89216,0.000312214,0.000312214,0.000312214
11,38.4826,0.69321,2.3605,0.90215,0.54683,0.49687,0.50868,0.44736,0.59583,1.95565,0.88116,0.00026146,0.00026146,0.00026146
12,42.0871,0.66864,2.18423,0.87201,0.44472,0.49754,0.52627,0.46554,0.56211,1.84655,0.87039,0.000210706,0.000210706,0.000210706
13,44.9167,0.62541,2.07253,0.87072,0.38195,0.57646,0.55937,0.50112,0.52846,1.77312,0.86206,0.000159952,0.000159952,0.000159952
14,48.0608,0.63108,2.08402,0.88053,0.62142,0.57646,0.57142,0.51737,0.51997,1.75074,0.8595,0.000109198,0.000109198,0.000109198
15,50.8785,0.6392,2.00467,0.87444,0.645,0.55697,0.57204,0.51454,0.52025,1.73814,0.85924,5.8444e-05,5.8444e-05,5.8444e-05
